site_id,priority,clinic,province,district,backhaul_cluster,cluster_tier,rollout_phase,address,latitude,longitude,geocode_source,geocode_confidence,recommended_access_technology,notes,dfa_status,dfa_nearnet_distance_m,dfa_products_available,dfa_reference,checked_date
UNJ-208,3,Lillydale,Mpumalanga,Ehlanzeni,Ehlanzeni Lowveld,1,3,"37 Lillydale Main Road, Lillydale",-24.8926296,31.3875732,Google Places,AUTO-GEOCODED,Tarana FWB 50 Mbps primary; LTE uncapped fallback,,,,,,
UNJ-226,3,Marapyane,Mpumalanga,JS Moroka,JS Moroka,4,5,"1233B Tshwaro Section, Marapyane",-25.008198,28.787221,Google Places,AUTO-GEOCODED,LTE uncapped; LEO satellite fallback,,,,,,
UNJ-222,3,Mayflower,Mpumalanga,Gert Sibande,Gert Sibande,3,4,"ERF IA21, next to Mpuluzi Sawmill, Mayflower",-26.3171372,30.785249,Google Places,AUTO-GEOCODED,LTE uncapped primary; Tarana where tower LOS exists,,,,,,
UNJ-216,3,Middelburg,Mpumalanga,Emalahleni,Nkangala,3,4,"Stand 10072, 16th Crescent Ext 6, Mhluzi, Middelburg",-25.7654653,29.4048947,Google Places,AUTO-GEOCODED,LTE uncapped primary; Tarana where tower LOS exists,,,,,,
UNJ-210,3,Mjejane,Mpumalanga,Ehlanzeni,Ehlanzeni Lowveld,1,3,"Portion of Symington 16JU, Mjejane Trust, Hectorspruit",-25.4444219,31.7131447,Google Places,AUTO-GEOCODED,Tarana FWB 50 Mbps primary; LTE uncapped fallback,,,,,,
UNJ-211,3,Mkhuhlu,Mpumalanga,Ehlanzeni,Ehlanzeni Lowveld,1,3,"Mkhuhlu Plaza, R536, Mkhuhlu",-24.9859473,31.2457404,Google Places,AUTO-GEOCODED,Tarana FWB 50 Mbps primary; LTE uncapped fallback,,,,,,
UNJ-232,3,Moloto,Mpumalanga,Nkangala,Nkangala,3,4,"116/117 Block 7 Moloto, Moloto Road",-25.4512875,28.6448094,Google Places,AUTO-GEOCODED,LTE uncapped primary; Tarana where tower LOS exists,,,,,,
UNJ-212,3,Nelspruit,Mpumalanga,Ehlanzeni,Ehlanzeni Lowveld,1,3,"15 Samora Machel Drive, Nelspruit Central, Mbombela",-25.4709015,30.9805641,Google Places,AUTO-GEOCODED,Tarana FWB 50 Mbps primary; LTE uncapped fallback,,,,,,
UNJ-213,3,Nkomazi,Mpumalanga,Ehlanzeni,Ehlanzeni Lowveld,1,3,"Nkomazi Plaza, R571 & Tonga Road, Nkomazi",-25.671782,31.854658,Google Places,AUTO-GEOCODED,Tarana FWB 50 Mbps primary; LTE uncapped fallback,,,,,,
UNJ-227,3,Siyabuswa,Mpumalanga,JS Moroka,JS Moroka,4,5,"Stand 2082, Section B, Siyabuswa",-25.1119236,29.048902,Google Places,AUTO-GEOCODED,LTE uncapped; LEO satellite fallback,,,,,,
